rxn_smiles,reactant_0,reactant_1,product_0,product_1,reactants,products,r1_valid,r2_valid,p1_valid,p2_valid,reaction
[CH2]COCC+[CH]1C=CC=CC1<=>CCOCC+[C]1=C[CH]CC=C1,[CH2]COCC,[CH]1C=CC=CC1,CCOCC,[C]1=C[CH]CC=C1,[CH2]COCC+[CH]1C=CC=CC1,CCOCC+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_885
[C]#CC+[CH]1C=CC=CC1<=>C#CC+[C]1=C[CH]CC=C1,[C]#CC,[CH]1C=CC=CC1,C#CC,[C]1=C[CH]CC=C1,[C]#CC+[CH]1C=CC=CC1,C#CC+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_886
CCCOC+[C]1=C[CH]CC=C1<=>[CH2]OCCC+[CH]1C=CC=CC1,CCCOC,[C]1=C[CH]CC=C1,[CH2]OCCC,[CH]1C=CC=CC1,CCCOC+[C]1=C[CH]CC=C1,[CH2]OCCC+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_887
[O-][NH+]=N+[C]1=CC=C[CH]C1<=>[NH]N=O+[CH]1C=CC=CC1,[O-][NH+]=N,[C]1=CC=C[CH]C1,[NH]N=O,[CH]1C=CC=CC1,[O-][NH+]=N+[C]1=CC=C[CH]C1,[NH]N=O+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_888
[O-][NH+]=N+[C]1=C[CH]CC=C1<=>[NH]N=O+[CH]1C=CC=CC1,[O-][NH+]=N,[C]1=C[CH]CC=C1,[NH]N=O,[CH]1C=CC=CC1,[O-][NH+]=N+[C]1=C[CH]CC=C1,[NH]N=O+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_889
[C]#N+[CH]1C=CC=CC1<=>C#N+[C]1=CC=C[CH]C1,[C]#N,[CH]1C=CC=CC1,C#N,[C]1=CC=C[CH]C1,[C]#N+[CH]1C=CC=CC1,C#N+[C]1=CC=C[CH]C1,True,True,True,True,rmg_rxn_890
[C]#N+[CH]1C=CC=CC1<=>C#N+[C]1=C[CH]CC=C1,[C]#N,[CH]1C=CC=CC1,C#N,[C]1=C[CH]CC=C1,[C]#N+[CH]1C=CC=CC1,C#N+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_891
[CH2]C#CC+[CH]1C=CC=CC1<=>CC#CC+[C]1=CC=C[CH]C1,[CH2]C#CC,[CH]1C=CC=CC1,CC#CC,[C]1=CC=C[CH]C1,[CH2]C#CC+[CH]1C=CC=CC1,CC#CC+[C]1=CC=C[CH]C1,True,True,True,True,rmg_rxn_892
[CH2]SCC+[CH]1C=CC=CC1<=>CSCC+[C]1=CC=C[CH]C1,[CH2]SCC,[CH]1C=CC=CC1,CSCC,[C]1=CC=C[CH]C1,[CH2]SCC+[CH]1C=CC=CC1,CSCC+[C]1=CC=C[CH]C1,True,True,True,True,rmg_rxn_893
CCS[CH]C+[CH]1C=CC=CC1<=>CCSCC+[C]1=CC=C[CH]C1,CCS[CH]C,[CH]1C=CC=CC1,CCSCC,[C]1=CC=C[CH]C1,CCS[CH]C+[CH]1C=CC=CC1,CCSCC+[C]1=CC=C[CH]C1,True,True,True,True,rmg_rxn_894
