product_0,product_1,reactant_0,reactant_1,reaction
NC=C=N,O1C=[C]N=N1,NC=C=[N],c1cnno1,rxn_7256
NC=C=N,O1[C]=CN=N1,NC=C=[N],c1cnno1,rxn_7257
[N-]=CC=[NH2+],O1C=[C]N=N1,[N-]=[C]C=[NH2+],c1cnno1,rxn_7258
[N-]=CC=[NH2+],O1[C]=CN=N1,[N-]=[C]C=[NH2+],c1cnno1,rxn_7259
[N-]=C=C[NH3+],O1C=[C]N=N1,[N-]=C=C[NH2+],c1cnno1,rxn_7260
[N-]=C=C[NH3+],O1[C]=CN=N1,[N-]=C=C[NH2+],c1cnno1,rxn_7261
NCC#N,[C]1=NOC=N1,N[CH]C#N,c1ncno1,rxn_7262
NCC#N,C1=NO[C]=N1,N[CH]C#N,c1ncno1,rxn_7263
NC=C=N,[C]1=NOC=N1,NC=C=[N],c1ncno1,rxn_7264
NC=C=N,C1=NO[C]=N1,NC=C=[N],c1ncno1,rxn_7265
[N-]=CC=[NH2+],[C]1=NOC=N1,[N-]=[C]C=[NH2+],c1ncno1,rxn_7266
[N-]=CC=[NH2+],C1=NO[C]=N1,[N-]=[C]C=[NH2+],c1ncno1,rxn_7267
[N-]=C=C[NH3+],[C]1=NOC=N1,[N-]=C=C[NH2+],c1ncno1,rxn_7268
[N-]=C=C[NH3+],C1=NO[C]=N1,[N-]=C=C[NH2+],c1ncno1,rxn_7269
NCC#N,O1C=NN=[C]1,N[CH]C#N,o1cnnc1,rxn_7270
NC=C=N,O1C=NN=[C]1,NC=C=[N],o1cnnc1,rxn_7271
[N-]=CC=[NH2+],O1C=NN=[C]1,[N-]=[C]C=[NH2+],o1cnnc1,rxn_7272
[N-]=C=C[NH3+],O1C=NN=[C]1,[N-]=C=C[NH2+],o1cnnc1,rxn_7273
NCC#N,O1[C]=NN=N1,N[CH]C#N,c1nnno1,rxn_7274
NC=C=N,O1[C]=NN=N1,NC=C=[N],c1nnno1,rxn_7275
[N-]=CC=[NH2+],O1[C]=NN=N1,[N-]=[C]C=[NH2+],c1nnno1,rxn_7276
[N-]=C=C[NH3+],O1[C]=NN=N1,[N-]=C=C[NH2+],c1nnno1,rxn_7277
NCC#N,N1=C[C]=NO1,N[CH]C#N,c1cnon1,rxn_7278
NC=C=N,N1=C[C]=NO1,NC=C=[N],c1cnon1,rxn_7279
[N-]=CC=[NH2+],N1=C[C]=NO1,[N-]=[C]C=[NH2+],c1cnon1,rxn_7280
[N-]=C=C[NH3+],N1=C[C]=NO1,[N-]=C=C[NH2+],c1cnon1,rxn_7281
NCC#N,O1N=N[C]=N1,N[CH]C#N,n1ncno1,rxn_7282
NC=C=N,O1N=N[C]=N1,NC=C=[N],n1ncno1,rxn_7283
[N-]=CC=[NH2+],O1N=N[C]=N1,[N-]=[C]C=[NH2+],n1ncno1,rxn_7284
[N-]=C=C[NH3+],O1N=N[C]=N1,[N-]=C=C[NH2+],n1ncno1,rxn_7285
NCC#N,[C]#CC(=O)C#N,N[CH]C#N,C#CC(=O)C#N,rxn_7286
NC=C=N,[C]#CC(=O)C#N,NC=C=[N],C#CC(=O)C#N,rxn_7287
[N-]=CC=[NH2+],[C]#CC(=O)C#N,[N-]=[C]C=[NH2+],C#CC(=O)C#N,rxn_7288
[N-]=C=C[NH3+],[C]#CC(=O)C#N,[N-]=C=C[NH2+],C#CC(=O)C#N,rxn_7289
NCC#N,O=C(C#N)[C]=O,N[CH]C#N,O=C(C#N)C=O,rxn_7290
NC=C=N,O=C(C#N)[C]=O,NC=C=[N],O=C(C#N)C=O,rxn_7291
[N-]=CC=[NH2+],O=C(C#N)[C]=O,[N-]=[C]C=[NH2+],O=C(C#N)C=O,rxn_7292
[N-]=C=C[NH3+],O=C(C#N)[C]=O,[N-]=C=C[NH2+],O=C(C#N)C=O,rxn_7293
NCC#N,[C]#CC#CC#N,N[CH]C#N,C#CC#CC#N,rxn_7294
NC=C=N,[C]#CC#CC#N,NC=C=[N],C#CC#CC#N,rxn_7295
[N-]=CC=[NH2+],[C]#CC#CC#N,[N-]=[C]C=[NH2+],C#CC#CC#N,rxn_7296
[N-]=C=C[NH3+],[C]#CC#CC#N,[N-]=C=C[NH2+],C#CC#CC#N,rxn_7297
NCC#N,O=[C]C#CC#N,N[CH]C#N,O=CC#CC#N,rxn_7298
NC=C=N,O=[C]C#CC#N,NC=C=[N],O=CC#CC#N,rxn_7299
[N-]=CC=[NH2+],O=[C]C#CC#N,[N-]=[C]C=[NH2+],O=CC#CC#N,rxn_7300
[N-]=C=C[NH3+],O=[C]C#CC#N,[N-]=C=C[NH2+],O=CC#CC#N,rxn_7301
NCC#N,[N]=c1onno1,N[CH]C#N,N=c1onno1,rxn_7302
NC=C=N,[N]=c1onno1,NC=C=[N],N=c1onno1,rxn_7303
[N-]=CC=[NH2+],[N]=c1onno1,[N-]=[C]C=[NH2+],N=c1onno1,rxn_7304
[N-]=C=C[NH3+],[N]=c1onno1,[N-]=C=C[NH2+],N=c1onno1,rxn_7305
NCC#N,O=C1[N]N=NO1,N[CH]C#N,O=c1onn[nH]1,rxn_7306
NC=C=N,O=C1[N]N=NO1,NC=C=[N],O=c1onn[nH]1,rxn_7307
[N-]=CC=[NH2+],O=C1[N]N=NO1,[N-]=[C]C=[NH2+],O=c1onn[nH]1,rxn_7308
[N-]=C=C[NH3+],O=C1[N]N=NO1,[N-]=C=C[NH2+],O=c1onn[nH]1,rxn_7309
NCC#N,O=C1ON=[C]O1,N[CH]C#N,O=c1onco1,rxn_7310
NC=C=N,O=C1ON=[C]O1,NC=C=[N],O=c1onco1,rxn_7311
[N-]=CC=[NH2+],O=C1ON=[C]O1,[N-]=[C]C=[NH2+],O=c1onco1,rxn_7312
[N-]=C=C[NH3+],O=C1ON=[C]O1,[N-]=C=C[NH2+],O=c1onco1,rxn_7313
NCC#N,[O]c1nonn1,N[CH]C#N,Oc1nonn1,rxn_7314
NC=C=N,[O]c1nonn1,NC=C=[N],Oc1nonn1,rxn_7315
[N-]=CC=[NH2+],[O]c1nonn1,[N-]=[C]C=[NH2+],Oc1nonn1,rxn_7316
[N-]=C=C[NH3+],[O]c1nonn1,[N-]=C=C[NH2+],Oc1nonn1,rxn_7317
NCC#N,[C]#CC(F)(F)F,N[CH]C#N,C#CC(F)(F)F,rxn_7318
NC=C=N,[C]#CC(F)(F)F,NC=C=[N],C#CC(F)(F)F,rxn_7319
[N-]=CC=[NH2+],[C]#CC(F)(F)F,[N-]=[C]C=[NH2+],C#CC(F)(F)F,rxn_7320
[N-]=C=C[NH3+],[C]#CC(F)(F)F,[N-]=C=C[NH2+],C#CC(F)(F)F,rxn_7321
NCC#N,O=[C]C(F)(F)F,N[CH]C#N,O=CC(F)(F)F,rxn_7322
