rxn_smiles,reactant_0,reactant_1,product_0,product_1,reactants,products,r1_valid,r2_valid,p1_valid,p2_valid,reaction
[CH]1OCCCO1+CCSCC<=>C1COCOC1+CCS[CH]C,[CH]1OCCCO1,CCSCC,C1COCOC1,CCS[CH]C,[CH]1OCCCO1+CCSCC,C1COCOC1+CCS[CH]C,True,True,True,True,rmg_rxn_65
S+[CH]CC<=>[SH]+[CH2]CC,S,[CH]CC,[SH],[CH2]CC,S+[CH]CC,[SH]+[CH2]CC,True,True,True,True,rmg_rxn_76
[SH]+[NH]N<=>S+[N]N,[SH],[NH]N,S,[N]N,[SH]+[NH]N,S+[N]N,True,True,True,True,rmg_rxn_77
[SH]+CC[NH]<=>S+CC[N],[SH],CC[NH],S,CC[N],[SH]+CC[NH],S+CC[N],True,True,True,True,rmg_rxn_78
[SH]+CCS<=>S+CC[S],[SH],CCS,S,CC[S],[SH]+CCS,S+CC[S],True,True,True,True,rmg_rxn_80
[SH]+CC=NO<=>S+CC=N[O],[SH],CC=NO,S,CC=N[O],[SH]+CC=NO,S+CC=N[O],True,True,True,True,rmg_rxn_81
[SH]+CCN=O<=>S+CC=N[O],[SH],CCN=O,S,CC=N[O],[SH]+CCN=O,S+CC=N[O],True,True,True,True,rmg_rxn_82
S+[CH2]CSCC<=>[SH]+CCSCC,S,[CH2]CSCC,[SH],CCSCC,S+[CH2]CSCC,[SH]+CCSCC,True,True,True,True,rmg_rxn_83
[SH]+CCCC<=>S+C[CH]CC,[SH],CCCC,S,C[CH]CC,[SH]+CCCC,S+C[CH]CC,True,True,True,True,rmg_rxn_84
[SH]+CCCC<=>S+[CH2]CCC,[SH],CCCC,S,[CH2]CCC,[SH]+CCCC,S+[CH2]CCC,True,True,True,True,rmg_rxn_85
S+[CH]1OCCCO1<=>[SH]+C1COCOC1,S,[CH]1OCCCO1,[SH],C1COCOC1,S+[CH]1OCCCO1,[SH]+C1COCOC1,True,True,True,True,rmg_rxn_86
S+CCS[CH]C<=>[SH]+CCSCC,S,CCS[CH]C,[SH],CCSCC,S+CCS[CH]C,[SH]+CCSCC,True,True,True,True,rmg_rxn_87
CC#N+[CH]CC<=>C=C=[N]+[CH2]CC,CC#N,[CH]CC,C=C=[N],[CH2]CC,CC#N+[CH]CC,C=C=[N]+[CH2]CC,True,True,True,True,rmg_rxn_89
CC#N+CC=N[O]<=>C=C=[N]+CC=NO,CC#N,CC=N[O],C=C=[N],CC=NO,CC#N+CC=N[O],C=C=[N]+CC=NO,True,True,True,True,rmg_rxn_94
CC#N+[CH2]CSCC<=>C=C=[N]+CCSCC,CC#N,[CH2]CSCC,C=C=[N],CCSCC,CC#N+[CH2]CSCC,C=C=[N]+CCSCC,True,True,True,True,rmg_rxn_96
CC#N+C[CH]CC<=>C=C=[N]+CCCC,CC#N,C[CH]CC,C=C=[N],CCCC,CC#N+C[CH]CC,C=C=[N]+CCCC,True,True,True,True,rmg_rxn_97
CC#N+[CH2]CCC<=>C=C=[N]+CCCC,CC#N,[CH2]CCC,C=C=[N],CCCC,CC#N+[CH2]CCC,C=C=[N]+CCCC,True,True,True,True,rmg_rxn_98
[CH]CC+CCCOCC<=>[CH2]CC+[CH2]COCCC,[CH]CC,CCCOCC,[CH2]CC,[CH2]COCCC,[CH]CC+CCCOCC,[CH2]CC+[CH2]COCCC,True,True,True,True,rmg_rxn_151
[NH]N+[CH2]COCCC<=>[N]N+CCCOCC,[NH]N,[CH2]COCCC,[N]N,CCCOCC,[NH]N+[CH2]COCCC,[N]N+CCCOCC,True,True,True,True,rmg_rxn_152
CC[NH]+[CH2]COCCC<=>CC[N]+CCCOCC,CC[NH],[CH2]COCCC,CC[N],CCCOCC,CC[NH]+[CH2]COCCC,CC[N]+CCCOCC,True,True,True,True,rmg_rxn_153
