reaction,reactant_0,reactant_1,product_0,product_1
rxn_848,C[CH]S,C,CCS,[CH3]
rxn_849,C[C](S)C,C,CC(S)C,[CH3]
rxn_850,[CH2]C=S,C,CC=S,[CH3]
rxn_851,C[CH]C=S,C,CCC=S,[CH3]
rxn_852,S=C[C](C)C,C,S=CC(C)C,[CH3]
rxn_854,C=[C]C=S,C,C=CC=S,[CH3]
rxn_855,S[CH]C=C,C,SCC=C,[CH3]
rxn_856,C[C](C=C)S,C,CC(C=C)S,[CH3]
rxn_857,S[CH]C=S,C,SCC=S,[CH3]
rxn_858,C[C](C=S)S,C,CC(C=S)S,[CH3]
rxn_859,S[CH]C#C,C,SCC#C,[CH3]
rxn_860,C[C](C#C)S,C,CC(C#C)S,[CH3]
rxn_864,C,C[C]=S,CC=S,[CH3]
rxn_865,S[C]=S,C,SC=S,[CH3]
rxn_866,C=C[C]=S,C,C=CC=S,[CH3]
rxn_867,S=[C]C#C,C,S=CC#C,[CH3]
rxn_868,C[CH]C,CC,CCC,C[CH2]
rxn_869,C[C](C)C,CC,CC(C)C,C[CH2]
rxn_870,[CH2]C=C,CC,C=CC,C[CH2]
rxn_871,C=C[CH]C,CC,C=CCC,C[CH2]
rxn_872,C=C[C](C)C,CC,C=CC(C)C,C[CH2]
rxn_873,C=C[CH]C=C,CC,C=CCC=C,C[CH2]
rxn_874,C=C[C](C)C=C,CC,C=CC(C)C=C,C[CH2]
rxn_876,C#C[CH]C,CC,C#CCC,C[CH2]
rxn_877,C#C[C](C)C,CC,C#CC(C)C,C[CH2]
rxn_878,C#C[CH]C#C,CC,C#CCC#C,C[CH2]
rxn_879,C#C[C](C)C#C,CC,C#CC(C)C#C,C[CH2]
rxn_880,[CH2]c1ccccc1,CC,Cc1ccccc1,C[CH2]
rxn_881,C[CH]c1ccccc1,CC,CCc1ccccc1,C[CH2]
rxn_883,[CH]=C,CC,C=C,C[CH2]
rxn_884,C=[C]C,CC,C=CC,C[CH2]
rxn_885,C=[C]C=C,CC,C=CC=C,C[CH2]
rxn_886,C#C[C]=C,CC,C#CC=C,C[CH2]
rxn_887,[CH2]S,CC,CS,C[CH2]
rxn_889,C[CH]S,CC,CCS,C[CH2]
rxn_890,C[C](S)C,CC,CC(S)C,C[CH2]
rxn_891,[CH2]C=S,CC,CC=S,C[CH2]
rxn_892,C[CH]C=S,CC,CCC=S,C[CH2]
rxn_893,S=C[C](C)C,CC,S=CC(C)C,C[CH2]
rxn_895,C=[C]C=S,CC,C=CC=S,C[CH2]
rxn_896,S[CH]C=C,CC,SCC=C,C[CH2]
rxn_897,C[C](C=C)S,CC,CC(C=C)S,C[CH2]
rxn_898,S[CH]C=S,CC,SCC=S,C[CH2]
rxn_899,C[C](C=S)S,CC,CC(C=S)S,C[CH2]
rxn_900,S[CH]C#C,CC,SCC#C,C[CH2]
rxn_901,C[C](C#C)S,CC,CC(C#C)S,C[CH2]
rxn_905,C[C]=S,CC,CC=S,C[CH2]
rxn_906,S[C]=S,CC,SC=S,C[CH2]
rxn_907,C=C[C]=S,CC,C=CC=S,C[CH2]
rxn_908,S=[C]C#C,CC,S=CC#C,C[CH2]
rxn_909,[H],CCC,[H][H],C[CH]C
rxn_910,[CH3],CCC,C,C[CH]C
rxn_911,C[CH2],CCC,CC,C[CH]C
rxn_912,C[C](C)C,CCC,CC(C)C,C[CH]C
rxn_913,[CH2]C=C,CCC,C=CC,C[CH]C
rxn_914,C=C[CH]C,CCC,C=CCC,C[CH]C
rxn_915,C=C[C](C)C,CCC,C=CC(C)C,C[CH]C
rxn_916,C=C[CH]C=C,CCC,C=CCC=C,C[CH]C
rxn_917,C=C[C](C)C=C,CCC,C=CC(C)C=C,C[CH]C
rxn_919,C#C[CH]C,CCC,C#CCC,C[CH]C
rxn_920,C#C[C](C)C,CCC,C#CC(C)C,C[CH]C
rxn_921,C#C[CH]C#C,CCC,C#CCC#C,C[CH]C
